one_way_bps,period,start,end,n_days,return,cagr,vol,sharpe,sortino,max_dd,calmar,turnover_pa,positive_months,n_months,positive_month_ratio,worst_month,median_month
5,full,2023-08-05,2026-08-03,1095,2.771186118082086,0.5565365467687367,0.20862547814588772,2.2268118608273313,3.7017491811048253,0.1380040541104648,4.0327550545669215,31.744960045271927,31,37,0.8378378378378378,-0.06298951764081162,0.032520218014511215
5,latest_year,2025-08-05,2026-08-03,364,0.7684716584119557,0.7712437008578394,0.2545179919875,2.3761193430573866,3.7046929739128123,0.1380040541104648,5.588558291446366,30.411217848604206,11,13,0.8461538461538461,-0.06298951764081162,0.04716419063056332
10,full,2023-08-05,2026-08-03,1095,2.5960136967663123,0.532052962940025,0.20862467255066147,2.1507389499959246,3.5683258404575584,0.13911365223972816,3.824592010706023,31.744960045271927,31,37,0.8378378378378378,-0.06427441779233822,0.0312628457468207
10,latest_year,2025-08-05,2026-08-03,364,0.7418934619382647,0.7445512659661353,0.2545207988906138,2.3163510312877826,3.6063901756662617,0.13911365223972783,5.352107819567083,30.411217848604206,11,13,0.8461538461538461,-0.06427441779233822,0.045912379495306244
15,full,2023-08-05,2026-08-03,1095,2.4289668951762557,0.5079528557861495,0.20862577750162611,2.07464645235557,3.435383113665607,0.14124226345326463,3.596323390488773,31.744960045271927,31,37,0.8378378378378378,-0.06555765179394779,0.030006918079275025
15,latest_year,2025-08-05,2026-08-03,364,0.7157131732216024,0.7182595429516392,0.25452464773835937,2.2565748000237487,3.508355976289079,0.14124226345326474,5.08530184511109,30.411217848604206,11,13,0.8461538461538461,-0.06555765179394779,0.044662000465515606
20,full,2023-08-05,2026-08-03,1095,2.2696693125112604,0.484230244574521,0.20862879296842549,1.9985364589900687,3.30289912573083,0.1433657401748889,3.3775868905670277,31.744960045271927,31,37,0.8378378378378378,-0.06683922169181633,0.02875243344215561
20,latest_year,2025-08-05,2026-08-03,364,0.6899248579396025,0.6923625392499384,0.25452953848346976,2.1967913841342113,3.410574943935656,0.1433657401748889,4.829344433338887,30.411217848604206,11,13,0.8461538461538461,-0.06683922169181633,0.04341305197213319
30,full,2023-08-05,2026-08-03,1095,1.9729024562945172,0.4378940500136588,0.20864055506569407,1.8462723557212413,3.0393466068397177,0.14759733845398837,2.9668153545139972,31.744960045271927,30,37,0.8108108108108109,-0.06939737734912765,0.025213261452194713
30,latest_year,2025-08-05,2026-08-03,364,0.6395008499079471,0.6417291645794083,0.2545424454127643,2.0772059388540387,3.2157775722980437,0.14759733845398815,4.347836968449892,30.411217848604206,10,13,0.7692307692307693,-0.06939737734912765,0.04091944032658823
